"","modality","type","period","brain_measure","estimate","SE","DF","t","p","effect","sig","sig_level","brain_measure_name","subtype"
"566","vision","visual","cue","Ctx_V3_R",0.058,0.03,2961.14,1.92,0.055,"cue_var",FALSE,"","Right V3","pain_early_percept"
"567","pain","visual","cue","Ctx_V4_R",0.025,0.029,2926.36,0.86,0.391,"cue_var",FALSE,"","Right V4","pain_early_percept"
"568","vision","visual","cue","Ctx_V4_R",0.07,0.03,2952.81,2.33,0.02,"cue_var",TRUE,"*","Right V4","pain_early_percept"
"569","pain","visual","cue","Ctx_V3A_R",0.036,0.029,2892.61,1.24,0.216,"cue_var",FALSE,"","Right V3A","visual_other"
"570","vision","visual","cue","Ctx_V3A_R",0.022,0.03,2955.72,0.74,0.462,"cue_var",FALSE,"","Right V3A","visual_other"
"571","pain","visual","cue","Ctx_V3B_R",0.027,0.029,2882.17,0.93,0.354,"cue_var",FALSE,"","Right V3B","visual_other"
"572","vision","visual","cue","Ctx_V3B_R",0.037,0.029,2962.81,1.27,0.206,"cue_var",FALSE,"","Right V3B","visual_other"
"573","pain","visual","cue","Ctx_MT_R",0.017,0.029,2936.07,0.59,0.553,"cue_var",FALSE,"","Right V5 (MT)","pain_early_percept"
"574","vision","visual","cue","Ctx_MT_R",0.026,0.03,2916.68,0.87,0.383,"cue_var",FALSE,"","Right V5 (MT)","pain_early_percept"
"575","pain","visual","cue","Ctx_VMV1_R",0.032,0.03,2937.04,1.08,0.28,"cue_var",FALSE,"","Right ventro-medial V1","visual_other"
"576","vision","visual","cue","Ctx_VMV1_R",0.002,0.03,2955.84,0.07,0.943,"cue_var",FALSE,"","Right ventro-medial V1","visual_other"
"577","pain","visual","cue","Ctx_VMV3_R",0.02,0.029,2941.28,0.68,0.494,"cue_var",FALSE,"","Right ventro-medial V3","visual_other"
"578","vision","visual","cue","Ctx_VMV3_R",0.02,0.03,2958.33,0.68,0.496,"cue_var",FALSE,"","Right ventro-medial V3","visual_other"
"579","pain","visual","cue","Ctx_V4t_R",0.042,0.029,2929.84,1.46,0.145,"cue_var",FALSE,"","Right V4t","visual_other"
"580","vision","visual","cue","Ctx_V4t_R",0.048,0.03,2908.41,1.58,0.114,"cue_var",FALSE,"","Right V4t","visual_other"
"581","pain","visual","cue","Ctx_V3CD_R",0.045,0.029,2885.67,1.58,0.115,"cue_var",FALSE,"","Right V3CD","visual_other"
"582","vision","visual","cue","Ctx_V3CD_R",0.057,0.03,2955.82,1.93,0.053,"cue_var",FALSE,"","Right V3CD","visual_other"
"583","pain","visual","cue","Ctx_VMV2_R",0.014,0.03,2932.24,0.47,0.637,"cue_var",FALSE,"","Right ventro-medial V2","visual_other"
"584","vision","visual","cue","Ctx_VMV2_R",0.011,0.03,2955.19,0.37,0.708,"cue_var",FALSE,"","Right ventro-medial V2","visual_other"
"585","pain","visual","cue","Thal_Lateral_Geniculate_Nucleus_L",-0.011,0.03,2898.28,-0.37,0.711,"cue_var",FALSE,"","Left LGN","visual_early_percept"
"586","vision","visual","cue","Thal_Lateral_Geniculate_Nucleus_L",0.007,0.031,2928.11,0.21,0.83,"cue_var",FALSE,"","Left LGN","visual_early_percept"
"587","pain","visual","cue","Thal_Lateral_Geniculate_Nucleus_R",0.005,0.031,2937.41,0.16,0.876,"cue_var",FALSE,"","Right LGN","visual_early_percept"
"588","vision","visual","cue","Thal_Lateral_Geniculate_Nucleus_R",-0.026,0.031,2963.75,-0.86,0.389,"cue_var",FALSE,"","Right LGN","visual_early_percept"
"589","pain","neuromarker","stim","nps",0.047,0.039,2894.92,1.21,0.225,"cue_sk_neg",FALSE,"","NPS","pain_neuromarker"
"590","vision","neuromarker","stim","nps",-0.055,0.042,2947.36,-1.29,0.196,"cue_sk_neg",FALSE,"","NPS","pain_neuromarker"
"591","pain","neuromarker","stim","siips",-0.011,0.04,2936.81,-0.27,0.785,"cue_sk_neg",FALSE,"","SIIPS","pain_neuromarker"
"592","vision","neuromarker","stim","siips",0.008,0.043,2936.1,0.2,0.844,"cue_sk_neg",FALSE,"","SIIPS","pain_neuromarker"
"593","pain","pain","stim","Thal_VPLM_R",-0.031,0.041,2946.92,-0.75,0.456,"cue_sk_neg",FALSE,"","Right VPL/VPM Thal","pain_early_percept"
"594","vision","pain","stim","Thal_VPLM_R",-0.085,0.044,2963.83,-1.93,0.054,"cue_sk_neg",FALSE,"","Right VPL/VPM Thal","pain_early_percept"
"595","pain","pain","stim","Thal_VPLM_L",0.013,0.04,2906.09,0.31,0.757,"cue_sk_neg",FALSE,"","Left VPL/VPM Thal","pain_early_percept"
"596","vision","pain","stim","Thal_VPLM_L",-0.03,0.044,2965.06,-0.7,0.487,"cue_sk_neg",FALSE,"","Left VPL/VPM Thal","pain_early_percept"
"597","pain","pain","stim","Thal_MD",0.017,0.041,2949.01,0.42,0.674,"cue_sk_neg",FALSE,"","Med Thal","pain_percept"
"598","vision","pain","stim","Thal_MD",-0.068,0.044,2910.36,-1.56,0.118,"cue_sk_neg",FALSE,"","Med Thal","pain_percept"
"599","pain","pain","stim","Bstem_PAG",0.014,0.042,2906.83,0.33,0.739,"cue_sk_neg",FALSE,"","PAG","pain_percept"
"600","vision","pain","stim","Bstem_PAG",-0.012,0.044,2916.23,-0.27,0.787,"cue_sk_neg",FALSE,"","PAG","pain_percept"
"601","pain","pain","stim","dpIns_L",0.03,0.04,2905.29,0.76,0.444,"cue_sk_neg",FALSE,"","Left dpIns","pain_early_percept"
"602","vision","pain","stim","dpIns_L",-0.063,0.043,2949.88,-1.45,0.147,"cue_sk_neg",FALSE,"","Left dpIns","pain_early_percept"
"603","pain","pain","stim","dpIns_R",0.012,0.039,2948.62,0.31,0.754,"cue_sk_neg",FALSE,"","Right dpIns","pain_early_percept"
"604","vision","pain","stim","dpIns_R",-0.142,0.044,2948,-3.25,0.001,"cue_sk_neg",TRUE,"**","Right dpIns","pain_early_percept"
"605","pain","pain","stim","aIns_L",0.024,0.041,2948.79,0.57,0.567,"cue_sk_neg",FALSE,"","Left aIns","pain_other"
"606","vision","pain","stim","aIns_L",-0.063,0.044,2916.12,-1.44,0.151,"cue_sk_neg",FALSE,"","Left aIns","pain_other"
"607","pain","pain","stim","aIns_R",0.007,0.04,2903.73,0.18,0.858,"cue_sk_neg",FALSE,"","Right aIns","pain_other"
"608","vision","pain","stim","aIns_R",0.008,0.044,2958.01,0.18,0.86,"cue_sk_neg",FALSE,"","Right aIns","pain_other"
"609","pain","pain","stim","aMCC_MPFC",0.031,0.039,2904.76,0.79,0.432,"cue_sk_neg",FALSE,"","aMCC","pain_percept"
"610","vision","pain","stim","aMCC_MPFC",-0.043,0.044,2950.34,-0.98,0.326,"cue_sk_neg",FALSE,"","aMCC","pain_percept"
"611","pain","pain","stim","s1_handplus_L",0.034,0.038,2907.62,0.9,0.37,"cue_sk_neg",FALSE,"","Left S1 hand","pain_other"
"612","vision","pain","stim","s1_handplus_L",-0.058,0.043,2956.34,-1.35,0.176,"cue_sk_neg",FALSE,"","Left S1 hand","pain_other"
"613","pain","pain","stim","s1_handplus_R",0.015,0.037,2948.44,0.4,0.689,"cue_sk_neg",FALSE,"","Right S1 hand","pain_other"
"614","vision","pain","stim","s1_handplus_R",-0.103,0.044,2946.34,-2.36,0.018,"cue_sk_neg",TRUE,"*","Right S1 hand","pain_other"
"615","pain","higher_level","stim","Ctx_IPS1_L",0.046,0.041,2949.11,1.12,0.264,"cue_sk_neg",FALSE,"","Left IPS","visual_higher_level"
"616","vision","higher_level","stim","Ctx_IPS1_L",-0.03,0.041,2958.55,-0.73,0.468,"cue_sk_neg",FALSE,"","Left IPS","visual_higher_level"
"617","pain","higher_level","stim","Ctx_11l_L",0.019,0.042,2903.94,0.46,0.647,"cue_sk_neg",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"618","vision","higher_level","stim","Ctx_11l_L",-0.011,0.044,2957.94,-0.25,0.801,"cue_sk_neg",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"619","pain","higher_level","stim","Ctx_IPS1_R",0.012,0.042,2906.48,0.29,0.772,"cue_sk_neg",FALSE,"","Right IPS","visual_higher_level"
"620","vision","higher_level","stim","Ctx_IPS1_R",-0.013,0.042,2956.62,-0.31,0.753,"cue_sk_neg",FALSE,"","Right IPS","visual_higher_level"
"621","pain","higher_level","stim","Ctx_p9_46v_R",0.014,0.042,2948.95,0.34,0.737,"cue_sk_neg",FALSE,"","Right dlPFC","pain_higher_level"
"622","vision","higher_level","stim","Ctx_p9_46v_R",0.01,0.043,2954.5,0.23,0.814,"cue_sk_neg",FALSE,"","Right dlPFC","pain_higher_level"
"623","pain","higher_level","stim","Ctx_11l_R",0.03,0.042,2949.02,0.72,0.469,"cue_sk_neg",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"624","vision","higher_level","stim","Ctx_11l_R",-0.003,0.044,2949.39,-0.06,0.952,"cue_sk_neg",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"625","pain","higher_level","stim","NAc_shell_like_R",0.038,0.043,2907.67,0.88,0.378,"cue_sk_neg",FALSE,"","Right NAc shell","pain_higher_level"
"626","vision","higher_level","stim","NAc_shell_like_R",-0.015,0.044,2959.04,-0.34,0.733,"cue_sk_neg",FALSE,"","Right NAc shell","pain_higher_level"
"627","pain","higher_level","stim","NAc_core_like_R",-0.004,0.042,2904.26,-0.11,0.915,"cue_sk_neg",FALSE,"","Right NAc core","pain_higher_level"
"628","vision","higher_level","stim","NAc_core_like_R",-0.018,0.044,2960.8,-0.42,0.676,"cue_sk_neg",FALSE,"","Right NAc core","pain_higher_level"
"629","pain","higher_level","stim","NAc_shell_like_L",0.032,0.042,2948.93,0.76,0.445,"cue_sk_neg",FALSE,"","Left NAc shell","pain_higher_level"
"630","vision","higher_level","stim","NAc_shell_like_L",0.001,0.044,2964.83,0.03,0.974,"cue_sk_neg",FALSE,"","Left NAc shell","pain_higher_level"
"631","pain","higher_level","stim","NAc_core_like_L",0.019,0.042,2948.57,0.44,0.66,"cue_sk_neg",FALSE,"","Left NAc core","pain_higher_level"
"632","vision","higher_level","stim","NAc_core_like_L",-0.038,0.044,2968.14,-0.86,0.388,"cue_sk_neg",FALSE,"","Left NAc core","pain_higher_level"
"633","pain","higher_level","stim","Ctx_8C_L_and_Ctx_46_L",0.011,0.042,2949.04,0.26,0.798,"cue_sk_neg",FALSE,"","Left dlPFC","pain_higher_level"
"634","vision","higher_level","stim","Ctx_8C_L_and_Ctx_46_L",-0.025,0.044,2952.42,-0.58,0.564,"cue_sk_neg",FALSE,"","Left dlPFC","pain_higher_level"
"635","pain","visual","stim","Ctx_V1_L",0.031,0.04,2907.78,0.76,0.445,"cue_sk_neg",FALSE,"","Left V1","visual_early_percept"
"636","vision","visual","stim","Ctx_V1_L",-0.059,0.041,2950.76,-1.43,0.153,"cue_sk_neg",FALSE,"","Left V1","visual_early_percept"
"637","pain","visual","stim","Ctx_V2_L",0.019,0.041,2948.81,0.46,0.644,"cue_sk_neg",FALSE,"","Left V2","visual_early_percept"
"638","vision","visual","stim","Ctx_V2_L",-0.079,0.041,2952.75,-1.92,0.056,"cue_sk_neg",FALSE,"","Left V2","visual_early_percept"
"639","pain","visual","stim","Ctx_V3_L",0.038,0.04,2908.02,0.95,0.345,"cue_sk_neg",FALSE,"","Left V3","pain_early_percept"
"640","vision","visual","stim","Ctx_V3_L",-0.086,0.04,2955.73,-2.15,0.032,"cue_sk_neg",TRUE,"*","Left V3","pain_early_percept"
"641","pain","visual","stim","Ctx_V4_L",0.047,0.041,2908.44,1.15,0.251,"cue_sk_neg",FALSE,"","Left V4","pain_early_percept"
"642","vision","visual","stim","Ctx_V4_L",-0.072,0.036,2959.4,-2.01,0.045,"cue_sk_neg",TRUE,"*","Left V4","pain_early_percept"
"643","pain","visual","stim","Ctx_V3A_L",0.006,0.041,2902.76,0.15,0.881,"cue_sk_neg",FALSE,"","Left V3A","visual_other"
"644","vision","visual","stim","Ctx_V3A_L",-0.101,0.039,2955.41,-2.57,0.01,"cue_sk_neg",TRUE,"*","Left V3A","visual_other"
"645","pain","visual","stim","Ctx_V3B_L",0.033,0.041,2948.85,0.81,0.416,"cue_sk_neg",FALSE,"","Left V3B","visual_other"
"646","vision","visual","stim","Ctx_V3B_L",-0.055,0.039,2960.72,-1.4,0.163,"cue_sk_neg",FALSE,"","Left V3B","visual_other"
"647","pain","visual","stim","Ctx_MT_L",0.035,0.04,2948.08,0.87,0.383,"cue_sk_neg",FALSE,"","Left V5 (MT)","pain_early_percept"
"648","vision","visual","stim","Ctx_MT_L",-0.091,0.041,2961.03,-2.22,0.027,"cue_sk_neg",TRUE,"*","Left V5 (MT)","pain_early_percept"
"649","pain","visual","stim","Ctx_VMV1_L",0.021,0.041,2948.78,0.51,0.612,"cue_sk_neg",FALSE,"","Left ventro-medial V1","visual_other"
"650","vision","visual","stim","Ctx_VMV1_L",-0.026,0.043,2915.2,-0.62,0.537,"cue_sk_neg",FALSE,"","Left ventro-medial V1","visual_other"
"651","pain","visual","stim","Ctx_VMV3_L",0,0.041,2948.65,0,0.996,"cue_sk_neg",FALSE,"","Left ventro-medial V3","visual_other"
"652","vision","visual","stim","Ctx_VMV3_L",-0.057,0.039,2962.75,-1.45,0.147,"cue_sk_neg",FALSE,"","Left ventro-medial V3","visual_other"
"653","pain","visual","stim","Ctx_V4t_L",0.047,0.041,2947.74,1.14,0.254,"cue_sk_neg",FALSE,"","Left V4t","visual_other"
"654","vision","visual","stim","Ctx_V4t_L",-0.062,0.038,2961.32,-1.64,0.101,"cue_sk_neg",FALSE,"","Left V4t","visual_other"
"655","pain","visual","stim","Ctx_V3CD_L",0.048,0.041,2906.35,1.17,0.241,"cue_sk_neg",FALSE,"","Left V3CD","visual_other"
"656","vision","visual","stim","Ctx_V3CD_L",-0.02,0.037,2960.48,-0.54,0.588,"cue_sk_neg",FALSE,"","Left V3CD","visual_other"
"657","pain","visual","stim","Ctx_VMV2_L",0.01,0.041,2948.81,0.25,0.803,"cue_sk_neg",FALSE,"","Left ventro-medial V2","visual_other"
"658","vision","visual","stim","Ctx_VMV2_L",-0.006,0.041,2959,-0.16,0.876,"cue_sk_neg",FALSE,"","Left ventro-medial V2","visual_other"
"659","pain","visual","stim","Ctx_V1_R",0.045,0.041,2908.26,1.12,0.264,"cue_sk_neg",FALSE,"","Right V1","visual_early_percept"
"660","vision","visual","stim","Ctx_V1_R",-0.054,0.041,2946.75,-1.32,0.187,"cue_sk_neg",FALSE,"","Right V1","visual_early_percept"
"661","pain","visual","stim","Ctx_V2_R",0.04,0.041,2908.45,1,0.32,"cue_sk_neg",FALSE,"","Right V2","visual_early_percept"
"662","vision","visual","stim","Ctx_V2_R",-0.072,0.04,2956.4,-1.8,0.072,"cue_sk_neg",FALSE,"","Right V2","visual_early_percept"
"663","pain","visual","stim","Ctx_V3_R",0.056,0.041,2908.16,1.37,0.171,"cue_sk_neg",FALSE,"","Right V3","pain_early_percept"
"664","vision","visual","stim","Ctx_V3_R",-0.102,0.039,2961.16,-2.63,0.009,"cue_sk_neg",TRUE,"**","Right V3","pain_early_percept"
"665","pain","visual","stim","Ctx_V4_R",0.032,0.041,2908.42,0.78,0.433,"cue_sk_neg",FALSE,"","Right V4","pain_early_percept"
"666","vision","visual","stim","Ctx_V4_R",-0.099,0.038,2953.49,-2.58,0.01,"cue_sk_neg",TRUE,"*","Right V4","pain_early_percept"
"667","pain","visual","stim","Ctx_V3A_R",0.003,0.04,2906.89,0.07,0.945,"cue_sk_neg",FALSE,"","Right V3A","visual_other"
"668","vision","visual","stim","Ctx_V3A_R",-0.087,0.038,2957.94,-2.3,0.021,"cue_sk_neg",TRUE,"*","Right V3A","visual_other"
"669","pain","visual","stim","Ctx_V3B_R",0.01,0.04,2948.6,0.24,0.813,"cue_sk_neg",FALSE,"","Right V3B","visual_other"
"670","vision","visual","stim","Ctx_V3B_R",-0.046,0.041,2961.78,-1.13,0.26,"cue_sk_neg",FALSE,"","Right V3B","visual_other"
"671","pain","visual","stim","Ctx_MT_R",-0.02,0.041,2938.63,-0.49,0.626,"cue_sk_neg",FALSE,"","Right V5 (MT)","pain_early_percept"
"672","vision","visual","stim","Ctx_MT_R",-0.048,0.041,2956.93,-1.17,0.242,"cue_sk_neg",FALSE,"","Right V5 (MT)","pain_early_percept"
"673","pain","visual","stim","Ctx_VMV1_R",0.005,0.041,2906.78,0.12,0.907,"cue_sk_neg",FALSE,"","Right ventro-medial V1","visual_other"
"674","vision","visual","stim","Ctx_VMV1_R",-0.035,0.042,2955.44,-0.82,0.413,"cue_sk_neg",FALSE,"","Right ventro-medial V1","visual_other"
"675","pain","visual","stim","Ctx_VMV3_R",-0.019,0.04,2906.95,-0.47,0.637,"cue_sk_neg",FALSE,"","Right ventro-medial V3","visual_other"
"676","vision","visual","stim","Ctx_VMV3_R",-0.078,0.04,2910.3,-1.93,0.053,"cue_sk_neg",FALSE,"","Right ventro-medial V3","visual_other"
"677","pain","visual","stim","Ctx_V4t_R",0,0.042,2855.72,0.01,0.995,"cue_sk_neg",FALSE,"","Right V4t","visual_other"
"678","vision","visual","stim","Ctx_V4t_R",-0.062,0.04,2952.7,-1.52,0.128,"cue_sk_neg",FALSE,"","Right V4t","visual_other"
"679","pain","visual","stim","Ctx_V3CD_R",0.002,0.041,2907.29,0.06,0.956,"cue_sk_neg",FALSE,"","Right V3CD","visual_other"
"680","vision","visual","stim","Ctx_V3CD_R",-0.064,0.037,2946.22,-1.74,0.083,"cue_sk_neg",FALSE,"","Right V3CD","visual_other"
"681","pain","visual","stim","Ctx_VMV2_R",-0.015,0.041,2908.4,-0.36,0.716,"cue_sk_neg",FALSE,"","Right ventro-medial V2","visual_other"
"682","vision","visual","stim","Ctx_VMV2_R",-0.068,0.04,2874.72,-1.68,0.094,"cue_sk_neg",FALSE,"","Right ventro-medial V2","visual_other"
"683","pain","visual","stim","Thal_Lateral_Geniculate_Nucleus_L",-0.043,0.043,2907.65,-1.02,0.309,"cue_sk_neg",FALSE,"","Left LGN","visual_early_percept"
"684","vision","visual","stim","Thal_Lateral_Geniculate_Nucleus_L",0.027,0.044,2963.32,0.63,0.531,"cue_sk_neg",FALSE,"","Left LGN","visual_early_percept"
"685","pain","visual","stim","Thal_Lateral_Geniculate_Nucleus_R",-0.052,0.042,2949.32,-1.22,0.224,"cue_sk_neg",FALSE,"","Right LGN","visual_early_percept"
"686","vision","visual","stim","Thal_Lateral_Geniculate_Nucleus_R",0.009,0.043,2925.95,0.21,0.837,"cue_sk_neg",FALSE,"","Right LGN","visual_early_percept"
"687","pain","neuromarker","cue","nps",-0.023,0.042,2879.82,-0.56,0.575,"cue_sk_neg",FALSE,"","NPS","pain_neuromarker"
"688","vision","neuromarker","cue","nps",-0.083,0.042,2954.58,-1.96,0.05,"cue_sk_neg",FALSE,"","NPS","pain_neuromarker"
"689","pain","neuromarker","cue","siips",-0.005,0.042,2917.99,-0.12,0.907,"cue_sk_neg",FALSE,"","SIIPS","pain_neuromarker"
"690","vision","neuromarker","cue","siips",-0.002,0.044,2940.02,-0.06,0.955,"cue_sk_neg",FALSE,"","SIIPS","pain_neuromarker"
"691","pain","pain","cue","Thal_VPLM_R",0.053,0.043,2939.7,1.24,0.215,"cue_sk_neg",FALSE,"","Right VPL/VPM Thal","pain_early_percept"
"692","vision","pain","cue","Thal_VPLM_R",0.034,0.044,2957.48,0.78,0.436,"cue_sk_neg",FALSE,"","Right VPL/VPM Thal","pain_early_percept"
"693","pain","pain","cue","Thal_VPLM_L",-0.005,0.042,2897.63,-0.11,0.911,"cue_sk_neg",FALSE,"","Left VPL/VPM Thal","pain_early_percept"
"694","vision","pain","cue","Thal_VPLM_L",0.018,0.043,2964.06,0.42,0.675,"cue_sk_neg",FALSE,"","Left VPL/VPM Thal","pain_early_percept"
"695","pain","pain","cue","Thal_MD",0.009,0.041,2885.12,0.23,0.822,"cue_sk_neg",FALSE,"","Med Thal","pain_percept"
"696","vision","pain","cue","Thal_MD",0.012,0.043,2958.12,0.28,0.78,"cue_sk_neg",FALSE,"","Med Thal","pain_percept"
"697","pain","pain","cue","Bstem_PAG",-0.042,0.043,2933.6,-0.97,0.33,"cue_sk_neg",FALSE,"","PAG","pain_percept"
"698","vision","pain","cue","Bstem_PAG",-0.008,0.044,2961.65,-0.17,0.862,"cue_sk_neg",FALSE,"","PAG","pain_percept"
"699","pain","pain","cue","dpIns_L",-0.005,0.041,2880.34,-0.13,0.897,"cue_sk_neg",FALSE,"","Left dpIns","pain_early_percept"
"700","vision","pain","cue","dpIns_L",-0.001,0.043,2954.13,-0.02,0.986,"cue_sk_neg",FALSE,"","Left dpIns","pain_early_percept"
"701","pain","pain","cue","dpIns_R",0.035,0.041,2878.64,0.84,0.398,"cue_sk_neg",FALSE,"","Right dpIns","pain_early_percept"
"702","vision","pain","cue","dpIns_R",-0.023,0.043,2955.09,-0.54,0.588,"cue_sk_neg",FALSE,"","Right dpIns","pain_early_percept"
"703","pain","pain","cue","aIns_L",-0.031,0.041,2884.32,-0.75,0.455,"cue_sk_neg",FALSE,"","Left aIns","pain_other"
"704","vision","pain","cue","aIns_L",0.011,0.043,2906.15,0.26,0.793,"cue_sk_neg",FALSE,"","Left aIns","pain_other"
"705","pain","pain","cue","aIns_R",-0.052,0.041,2885.35,-1.27,0.204,"cue_sk_neg",FALSE,"","Right aIns","pain_other"
"706","vision","pain","cue","aIns_R",-0.007,0.043,2917.12,-0.16,0.876,"cue_sk_neg",FALSE,"","Right aIns","pain_other"
"707","pain","pain","cue","aMCC_MPFC",-0.035,0.04,2884.91,-0.86,0.39,"cue_sk_neg",FALSE,"","aMCC","pain_percept"
"708","vision","pain","cue","aMCC_MPFC",0.023,0.043,2951.04,0.53,0.599,"cue_sk_neg",FALSE,"","aMCC","pain_percept"
"709","pain","pain","cue","s1_handplus_L",0.008,0.041,2932.2,0.2,0.838,"cue_sk_neg",FALSE,"","Left S1 hand","pain_other"
"710","vision","pain","cue","s1_handplus_L",0.009,0.043,2959.54,0.2,0.838,"cue_sk_neg",FALSE,"","Left S1 hand","pain_other"
"711","pain","pain","cue","s1_handplus_R",0.004,0.041,2933.16,0.09,0.93,"cue_sk_neg",FALSE,"","Right S1 hand","pain_other"
"712","vision","pain","cue","s1_handplus_R",-0.046,0.043,2955.65,-1.06,0.288,"cue_sk_neg",FALSE,"","Right S1 hand","pain_other"
"713","pain","higher_level","cue","Ctx_IPS1_L",-0.022,0.04,2850.73,-0.55,0.582,"cue_sk_neg",FALSE,"","Left IPS","visual_higher_level"
"714","vision","higher_level","cue","Ctx_IPS1_L",0.041,0.042,2962.68,0.97,0.334,"cue_sk_neg",FALSE,"","Left IPS","visual_higher_level"
"715","pain","higher_level","cue","Ctx_11l_L",-0.01,0.043,2846.62,-0.23,0.818,"cue_sk_neg",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"716","vision","higher_level","cue","Ctx_11l_L",-0.068,0.043,2944.2,-1.57,0.117,"cue_sk_neg",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"717","pain","higher_level","cue","Ctx_IPS1_R",0.054,0.04,2856.67,1.35,0.177,"cue_sk_neg",FALSE,"","Right IPS","visual_higher_level"
"718","vision","higher_level","cue","Ctx_IPS1_R",0.117,0.043,2960.31,2.75,0.006,"cue_sk_neg",TRUE,"**","Right IPS","visual_higher_level"
"719","pain","higher_level","cue","Ctx_p9_46v_R",-0.031,0.041,2851.72,-0.76,0.449,"cue_sk_neg",FALSE,"","Right dlPFC","pain_higher_level"
"720","vision","higher_level","cue","Ctx_p9_46v_R",0.005,0.043,2961.51,0.13,0.9,"cue_sk_neg",FALSE,"","Right dlPFC","pain_higher_level"
"721","pain","higher_level","cue","Ctx_11l_R",0.018,0.042,2843.73,0.42,0.678,"cue_sk_neg",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"722","vision","higher_level","cue","Ctx_11l_R",-0.039,0.043,2945.97,-0.91,0.364,"cue_sk_neg",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"723","pain","higher_level","cue","NAc_shell_like_R",-0.035,0.044,2935.1,-0.81,0.42,"cue_sk_neg",FALSE,"","Right NAc shell","pain_higher_level"
"724","vision","higher_level","cue","NAc_shell_like_R",-0.044,0.044,2871.52,-1.01,0.313,"cue_sk_neg",FALSE,"","Right NAc shell","pain_higher_level"
"725","pain","higher_level","cue","NAc_core_like_R",-0.08,0.043,2940.42,-1.87,0.061,"cue_sk_neg",FALSE,"","Right NAc core","pain_higher_level"
"726","vision","higher_level","cue","NAc_core_like_R",-0.08,0.044,2923.37,-1.84,0.066,"cue_sk_neg",FALSE,"","Right NAc core","pain_higher_level"
"727","pain","higher_level","cue","NAc_shell_like_L",-0.066,0.044,2931.45,-1.5,0.134,"cue_sk_neg",FALSE,"","Left NAc shell","pain_higher_level"
"728","vision","higher_level","cue","NAc_shell_like_L",-0.019,0.044,2916.26,-0.44,0.66,"cue_sk_neg",FALSE,"","Left NAc shell","pain_higher_level"
"729","pain","higher_level","cue","NAc_core_like_L",-0.045,0.043,2933.39,-1.05,0.292,"cue_sk_neg",FALSE,"","Left NAc core","pain_higher_level"
"730","vision","higher_level","cue","NAc_core_like_L",-0.074,0.044,2919.02,-1.71,0.088,"cue_sk_neg",FALSE,"","Left NAc core","pain_higher_level"
"731","pain","higher_level","cue","Ctx_8C_L_and_Ctx_46_L",-0.007,0.04,2886.17,-0.18,0.856,"cue_sk_neg",FALSE,"","Left dlPFC","pain_higher_level"
"732","vision","higher_level","cue","Ctx_8C_L_and_Ctx_46_L",0.012,0.043,2951.65,0.28,0.778,"cue_sk_neg",FALSE,"","Left dlPFC","pain_higher_level"
"733","pain","visual","cue","Ctx_V1_L",-0.003,0.041,2896.92,-0.07,0.942,"cue_sk_neg",FALSE,"","Left V1","visual_early_percept"
"734","vision","visual","cue","Ctx_V1_L",-0.008,0.042,2958.53,-0.19,0.853,"cue_sk_neg",FALSE,"","Left V1","visual_early_percept"
"735","pain","visual","cue","Ctx_V2_L",0,0.041,2942.58,0,0.996,"cue_sk_neg",FALSE,"","Left V2","visual_early_percept"
"736","vision","visual","cue","Ctx_V2_L",-0.011,0.043,2961.17,-0.26,0.795,"cue_sk_neg",FALSE,"","Left V2","visual_early_percept"
"737","pain","visual","cue","Ctx_V3_L",0.006,0.041,2942.33,0.16,0.877,"cue_sk_neg",FALSE,"","Left V3","pain_early_percept"
"738","vision","visual","cue","Ctx_V3_L",-0.007,0.043,2961.29,-0.16,0.871,"cue_sk_neg",FALSE,"","Left V3","pain_early_percept"
"739","pain","visual","cue","Ctx_V4_L",0.001,0.042,2938.01,0.03,0.979,"cue_sk_neg",FALSE,"","Left V4","pain_early_percept"
"740","vision","visual","cue","Ctx_V4_L",0.017,0.043,2963.51,0.41,0.684,"cue_sk_neg",FALSE,"","Left V4","pain_early_percept"
"741","pain","visual","cue","Ctx_V3A_L",0.032,0.042,2890.94,0.76,0.448,"cue_sk_neg",FALSE,"","Left V3A","visual_other"
"742","vision","visual","cue","Ctx_V3A_L",-0.036,0.042,2956.82,-0.87,0.385,"cue_sk_neg",FALSE,"","Left V3A","visual_other"
"743","pain","visual","cue","Ctx_V3B_L",0.018,0.041,2936.54,0.44,0.659,"cue_sk_neg",FALSE,"","Left V3B","visual_other"
"744","vision","visual","cue","Ctx_V3B_L",0.056,0.042,2956.04,1.34,0.179,"cue_sk_neg",FALSE,"","Left V3B","visual_other"
"745","pain","visual","cue","Ctx_MT_L",-0.028,0.04,2897.52,-0.69,0.492,"cue_sk_neg",FALSE,"","Left V5 (MT)","pain_early_percept"
"746","vision","visual","cue","Ctx_MT_L",0.007,0.042,2957.24,0.16,0.877,"cue_sk_neg",FALSE,"","Left V5 (MT)","pain_early_percept"
